1000	-277.36	0.0	3.27	1.0	0.0	0.0	0.0
2000	-286.46	0.0	3.44	1.0	0.0	0.0	0.0
3000	-270.55	0.01	3.29	1.0	0.0	0.0	0.0
4000	-256.47	0.0	3.5	1.0	0.0	0.0	0.0
5000	-252.26	0.02	3.76	1.0	0.0	0.0	0.0
6000	-254.01	0.01	3.66	1.0	0.0	0.0	0.0
7000	-267.84	0.0	3.6	1.0	0.0	0.0	0.0
8000	-253.95	0.03	3.6	1.0	0.0	0.0	0.0
9000	-251.42	0.03	3.92	1.0	0.0	0.0	0.0
10000	-238.55	0.05	3.99	0.99	0.0	0.01	0.0
11000	-246.99	0.03	3.9	0.99	0.0	0.01	0.0
12000	-224.12	0.05	4.54	0.99	0.0	0.01	0.0
13000	-219.4	0.06	4.38	1.0	0.0	0.0	0.0
14000	-221.09	0.07	4.68	1.0	0.0	0.0	0.0
15000	-203.04	0.13	5.13	0.97	0.0	0.03	0.0
16000	-174.47	0.16	4.95	1.0	0.0	0.0	0.0
17000	-209.08	0.07	4.48	0.99	0.0	0.01	0.0
18000	-149.27	0.11	5.23	1.0	0.0	0.0	0.0
19000	-182.05	0.14	5.27	0.97	0.0	0.03	0.0
20000	-113.72	0.18	5.04	1.0	0.0	0.0	0.0
21000	-203.37	0.08	5.27	1.0	0.0	0.0	0.0
22000	-164.83	0.1	5.62	0.98	0.0	0.02	0.0
23000	-205.4	0.05	4.63	1.0	0.0	0.0	0.0
24000	-148.13	0.17	6.22	0.99	0.0	0.01	0.0
25000	-133.62	0.12	5.83	0.99	0.0	0.01	0.0
26000	-130.98	0.23	6.6	0.99	0.0	0.01	0.0
27000	-124.8	0.18	6.75	0.95	0.0	0.05	0.0
28000	-91.09	0.24	7.8	0.97	0.0	0.03	0.0
29000	-135.24	0.15	6.35	0.97	0.0	0.03	0.0
30000	-83.28	0.21	7.47	0.99	0.01	0.01	0.0
31000	-56.72	0.23	8.13	0.98	0.0	0.02	0.0
32000	-90.78	0.14	6.8	0.99	0.0	0.01	0.0
33000	-66.99	0.27	7.76	0.97	0.0	0.03	0.0
